class_index,title,description,content,url,published_at,source,text,tech_pred,tech_score,prediction_confidence,is_uncertain,tech_category,tech_category_score,tech_category_score_gap,top2_category,top2_score
,rain-assistant 1.0.22,"AI-powered coding assistant with voice, plugins, web UI, and Telegram bot","A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/rain-assistant/1.0.22/,2026-03-12T23:49:44Z,NewsAPI,"rain-assistant 1.0.22. AI-powered coding assistant with voice, plugins, web UI, and Telegram bot",1,0.9982341037267449,0.9964682074534899,False,Other Tech,0.8451376557350159,0.0038956403732299805,Frameworks & Libraries,0.8412420153617859
,Rogue AI agents can work together to hack systems and steal secrets,"Prompt like a hard-ass boss who won't tolerate failure and bots will find ways to breach policy AI agents work together to bypass security controls and stealthily steal sensitive data from within the enterprise systems in which they operate, according to test…","AI agents work together to bypass security controls and stealthily steal sensitive data from within the enterprise systems in which they operate, according to tests carried out by frontier security l… [+8735 chars]",https://www.theregister.com/2026/03/12/rogue_ai_agents_worked_together/,2026-03-12T23:49:32Z,NewsAPI,"Rogue AI agents can work together to hack systems and steal secrets. Prompt like a hard-ass boss who won't tolerate failure and bots will find ways to breach policy AI agents work together to bypass security controls and stealthily steal sensitive data from within the enterprise systems in which they operate, according to test…",1,0.9684273051394188,0.9368546102788375,False,Other Tech,0.8000227212905884,0.009009182453155518,AI/ML,0.7910135388374329
,tsink 0.10.0,Python bindings for tsink time-series database,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/tsink/0.10.0/,2026-03-12T23:49:14Z,NewsAPI,tsink 0.10.0. Python bindings for tsink time-series database,1,0.9371393518333601,0.8742787036667201,False,Other Tech,0.8253808617591858,0.00418013334274292,Programming Languages,0.8212007284164429
,tsink added to PyPI,Python bindings for tsink time-series database,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/tsink/,2026-03-12T23:49:14Z,NewsAPI,tsink added to PyPI. Python bindings for tsink time-series database,1,0.8726265631908587,0.7452531263817175,False,Other Tech,0.8341933488845825,0.0024261474609375,Data & Databases,0.831767201423645
,observe-instrument-mcp added to PyPI,MCP server that instruments Python AI agents with the ioa-observe-sdk,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/observe-instrument-mcp/,2026-03-12T23:48:41Z,NewsAPI,observe-instrument-mcp added to PyPI. MCP server that instruments Python AI agents with the ioa-observe-sdk,1,0.9951541251932142,0.9903082503864284,False,Other Tech,0.832133412361145,0.010079383850097656,Programming Languages,0.8220540285110474
,observe-instrument-mcp 0.1.0,MCP server that instruments Python AI agents with the ioa-observe-sdk,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/observe-instrument-mcp/0.1.0/,2026-03-12T23:48:41Z,NewsAPI,observe-instrument-mcp 0.1.0. MCP server that instruments Python AI agents with the ioa-observe-sdk,1,0.9963435136897187,0.9926870273794375,False,Other Tech,0.8314255475997925,0.005983948707580566,Programming Languages,0.8254415988922119
,pulumi-gcp 9.15.0a1773353609,A Pulumi package for creating and managing Google Cloud Platform resources.,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/pulumi-gcp/9.15.0a1773353609/,2026-03-12T23:47:01Z,NewsAPI,pulumi-gcp 9.15.0a1773353609. A Pulumi package for creating and managing Google Cloud Platform resources.,1,0.9972282260870834,0.9944564521741668,False,Other Tech,0.8539421558380127,0.015314221382141113,DevOps & Platform Engineering,0.8386279344558716
,streamtex 0.4.18,"AI-powered content framework for Streamlit — create presentations, courses, and web-books with Claude or Cursor, no coding required.","A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/streamtex/0.4.18/,2026-03-12T23:46:31Z,NewsAPI,"streamtex 0.4.18. AI-powered content framework for Streamlit — create presentations, courses, and web-books with Claude or Cursor, no coding required.",1,0.9875131103270279,0.9750262206540559,False,Other Tech,0.8280377388000488,0.0028061866760253906,Frameworks & Libraries,0.8252315521240234
,recollect 0.5.2,Human-like memory for AI applications,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/recollect/0.5.2/,2026-03-12T23:46:11Z,NewsAPI,recollect 0.5.2. Human-like memory for AI applications,1,0.9985777496284421,0.9971554992568843,False,Other Tech,0.8482943773269653,0.029836535453796387,Mobile & Client Platforms,0.818457841873169
,Bold Security and Onyx Security raise $40M each to tackle emerging AI cybersecurity risks,Two cybersecurity startups focused on securing the growing use of artificial intelligence launched today with new funding rounds as interest in protecting enterprise endpoints and autonomous AI agents continues to grow. Bold Security Ltd. and Onyx Security In…,Two cybersecurity startups focused on securing the growing use of artificial intelligence launched today with new funding rounds as interest in protecting enterprise endpoints and autonomous AI agent… [+3912 chars],https://siliconangle.com/2026/03/12/bold-security-onyx-security-raise-40m-tackle-emerging-ai-cybersecurity-risks/,2026-03-12T23:45:33Z,NewsAPI,Bold Security and Onyx Security raise $40M each to tackle emerging AI cybersecurity risks. Two cybersecurity startups focused on securing the growing use of artificial intelligence launched today with new funding rounds as interest in protecting enterprise endpoints and autonomous AI agents continues to grow. Bold Security Ltd. and Onyx Security In…,1,0.878962274928348,0.757924549856696,False,Other Tech,0.837767481803894,0.023003578186035156,Tech Business & Industry,0.8147639036178589
,lfx 0.3.1,Langflow Executor - A lightweight CLI tool for executing and serving Langflow AI flows,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/lfx/0.3.1/,2026-03-12T23:45:24Z,NewsAPI,lfx 0.3.1. Langflow Executor - A lightweight CLI tool for executing and serving Langflow AI flows,1,0.990122858011447,0.9802457160228939,False,Other Tech,0.8269312381744385,0.0022259950637817383,DevOps & Platform Engineering,0.8247052431106567
,dh-cli 0.2.3,Dayhoff Labs developer CLI,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/dh-cli/0.2.3/,2026-03-12T23:45:16Z,NewsAPI,dh-cli 0.2.3. Dayhoff Labs developer CLI,1,0.9925095951733784,0.9850191903467569,False,Other Tech,0.8276399374008179,0.0033745169639587402,Frameworks & Libraries,0.8242654204368591
,palaia 1.4.2,"Local, cloud-free memory for OpenClaw agents.","A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/palaia/1.4.2/,2026-03-12T23:44:17Z,NewsAPI,"palaia 1.4.2. Local, cloud-free memory for OpenClaw agents.",1,0.9987845027425838,0.9975690054851676,False,Other Tech,0.8256309032440186,0.0034746527671813965,Frameworks & Libraries,0.8221562504768372
,plutus-ai 0.3.45,"Autonomous AI agent with subprocess orchestration, dynamic tool creation, and a local-first web interface","A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/plutus-ai/0.3.45/,2026-03-12T23:43:41Z,NewsAPI,"plutus-ai 0.3.45. Autonomous AI agent with subprocess orchestration, dynamic tool creation, and a local-first web interface",1,0.9985118508226069,0.9970237016452137,False,Other Tech,0.8506226539611816,0.011585474014282227,AI/ML,0.8390371799468994
,clawmetry 0.12.21,ClawMetry - Real-time observability dashboard for OpenClaw AI agents,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/clawmetry/0.12.21/,2026-03-12T23:41:35Z,NewsAPI,clawmetry 0.12.21. ClawMetry - Real-time observability dashboard for OpenClaw AI agents,1,0.9892645673033694,0.9785291346067388,False,Other Tech,0.8287754058837891,0.001249551773071289,Security,0.8275258541107178
,uidetox 1.7.8,Agent harness and CLI to eliminate AI slop from frontend code,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/uidetox/1.7.8/,2026-03-12T23:40:03Z,NewsAPI,uidetox 1.7.8. Agent harness and CLI to eliminate AI slop from frontend code,1,0.9937016008274101,0.9874032016548202,False,Other Tech,0.8422402143478394,0.0033316612243652344,DevOps & Platform Engineering,0.8389085531234741
,"Exclusive-BESI attracts takeover interest as advanced chip packaging demand surges, sources say","NEW YORK/ LONDON, March 12 : BE Semiconductor Industries has been fielding takeover interest, as demand for its chip-packaging technology has become more critical for semiconductor equipment makers, according to three people familiar with the matter.The Amste…","NEW YORK/ LONDON, March 12 : BE Semiconductor Industries has been fielding takeover interest, as demand for its chip-packaging technology has become more critical for semiconductor equipment makers, … [+2176 chars]",https://www.channelnewsasia.com/business/exclusive-besi-attracts-takeover-interest-advanced-chip-packaging-demand-surges-sources-say-5990436,2026-03-12T23:39:59Z,NewsAPI,"Exclusive-BESI attracts takeover interest as advanced chip packaging demand surges, sources say. NEW YORK/ LONDON, March 12 : BE Semiconductor Industries has been fielding takeover interest, as demand for its chip-packaging technology has become more critical for semiconductor equipment makers, according to three people familiar with the matter.The Amste…",1,0.66204705746014,0.32409411492028006,False,Tech Business & Industry,0.8360764980316162,0.0311926007270813,Other Tech,0.8048838973045349
,"BESI attracts takeover interest as advanced chip packaging demand surges, sources say","NEW YORK/ LONDON, March 12 : BE Semiconductor Industries has been fielding takeover interest, as demand for its chip-packaging technology has become more critical for semiconductor equipment makers, according to three people familiar with the matter.The Amste…","NEW YORK/ LONDON, March 12 : BE Semiconductor Industries has been fielding takeover interest, as demand for its chip-packaging technology has become more critical for semiconductor equipment makers, … [+2176 chars]",https://www.channelnewsasia.com/business/besi-attracts-takeover-interest-advanced-chip-packaging-demand-surges-sources-say-5990436,2026-03-12T23:39:59Z,NewsAPI,"BESI attracts takeover interest as advanced chip packaging demand surges, sources say. NEW YORK/ LONDON, March 12 : BE Semiconductor Industries has been fielding takeover interest, as demand for its chip-packaging technology has become more critical for semiconductor equipment makers, according to three people familiar with the matter.The Amste…",1,0.5912316875203684,0.18246337504073673,True,Other Tech,0.834602952003479,0.029273271560668945,Other Tech,0.8053296804428101
,ic-python-db 0.7.2,"A lightweight key-value database written in Python, intended for use on the Internet Computer (IC)","A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/ic-python-db/0.7.2/,2026-03-12T23:33:30Z,NewsAPI,"ic-python-db 0.7.2. A lightweight key-value database written in Python, intended for use on the Internet Computer (IC)",1,0.9893006374629997,0.9786012749259994,False,Other Tech,0.808826744556427,0.0029330849647521973,Data & Databases,0.8058936595916748
,Google Maps Gets Chatty With a New Gemini-Powered Interface - WIRED,"Google Maps Gets Chatty With a New Gemini-Powered InterfaceWIRED How we’re reimagining Maps with Geminiblog.google Google brings more AI to navigation with 'Ask Maps' feature that lets users ask complex questionsCNBC Google overhauls its Maps app, adding in m…",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.,https://slashdot.org/firehose.pl?op=view&amp;id=180962022,2026-03-12T23:32:06Z,NewsAPI,"Google Maps Gets Chatty With a New Gemini-Powered Interface - WIRED. Google Maps Gets Chatty With a New Gemini-Powered InterfaceWIRED How we’re reimagining Maps with Geminiblog.google Google brings more AI to navigation with 'Ask Maps' feature that lets users ask complex questionsCNBC Google overhauls its Maps app, adding in m…",1,0.9990021345796984,0.9980042691593969,False,Other Tech,0.8007170557975769,0.008941113948822021,AI/ML,0.7917759418487549
,"Proprietary Data Shields Software Leaders From AI Disruption, S&P Says","S&P Global Ratings said artificial intelligence (AI) is likely to impact software companies on a case-by-case basis rather than causing a sector-wide decline in credit ratings, Bloomberg reported Thursday (March 12). The software companies most at risk of cre…","S&amp;P Global Ratings said artificial intelligence (AI) is likely to impact software companies on a case-by-case basis rather than causing a sector-wide decline in credit ratings, Bloomberg reported… [+2253 chars]",https://www.pymnts.com/news/artificial-intelligence/2026/proprietary-data-shields-software-leaders-from-ai-disruption-sp-says/,2026-03-12T23:31:02Z,NewsAPI,"Proprietary Data Shields Software Leaders From AI Disruption, S&P Says. S&P Global Ratings said artificial intelligence (AI) is likely to impact software companies on a case-by-case basis rather than causing a sector-wide decline in credit ratings, Bloomberg reported Thursday (March 12). The software companies most at risk of cre…",1,0.9667271026587747,0.9334542053175494,False,Other Tech,0.821800947189331,0.004819631576538086,AI/ML,0.816981315612793
,Vibe coding startup Replit closes $400M round at $9B Valuation,"Replit Inc., a startup with an artificial intelligence platform that enables users to create websites and mobile apps, has raised $400 million in funding. The company announced the investment on Wednesday. The capital was provided by a consortium that include…","Replit Inc., a startup with an artificial intelligence platform that enables users to create websites and mobile apps, has raised $400 million in funding.
The company announced the investment on Wed… [+3916 chars]",https://siliconangle.com/2026/03/12/vibe-coding-startup-replit-closes-400m-round-9b-valuation/,2026-03-12T23:30:06Z,NewsAPI,"Vibe coding startup Replit closes $400M round at $9B Valuation. Replit Inc., a startup with an artificial intelligence platform that enables users to create websites and mobile apps, has raised $400 million in funding. The company announced the investment on Wednesday. The capital was provided by a consortium that include…",1,0.971986345952959,0.9439726919059179,False,Other Tech,0.8253756761550903,0.0031343698501586914,Frameworks & Libraries,0.8222413063049316
,"To Keep Americans Safe, the Press Must Only Publish Hot Photos of Me",“The Defense Department has barred press photographers from briefings on the ongoing U.S.-Israeli military conflict with Iran after they published photos of Defense Secretary Pete Hegseth that his staff deemed ‘unflattering’…” -– The Washington Post - - -The …,The Defense Department has barred press photographers from briefings on the ongoing U.S.-Israeli military conflict with Iran after they published photos of Defense Secretary Pete Hegseth that his sta… [+3170 chars],https://www.mcsweeneys.net/articles/to-keep-americans-safe-the-press-must-only-publish-hot-photos-of-me,2026-03-12T23:30:00Z,NewsAPI,"To Keep Americans Safe, the Press Must Only Publish Hot Photos of Me. “The Defense Department has barred press photographers from briefings on the ongoing U.S.-Israeli military conflict with Iran after they published photos of Defense Secretary Pete Hegseth that his staff deemed ‘unflattering’…” -– The Washington Post - - -The …",1,0.5606050226812151,0.1212100453624303,True,Other Tech,0.7987538576126099,0.022443294525146484,DevOps & Platform Engineering,0.7763105630874634
,ai-agent-gateway 0.2.2,Generic Claude agent gateway with MCP tool support and streaming,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/ai-agent-gateway/0.2.2/,2026-03-12T23:29:18Z,NewsAPI,ai-agent-gateway 0.2.2. Generic Claude agent gateway with MCP tool support and streaming,1,0.9958450319390314,0.9916900638780628,False,Other Tech,0.8428061008453369,0.013577938079833984,DevOps & Platform Engineering,0.8292281627655029
,marziel 1.5.2,Private AI with real-time maritime intelligence — runs entirely on your hardware,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/marziel/1.5.2/,2026-03-12T23:22:06Z,NewsAPI,marziel 1.5.2. Private AI with real-time maritime intelligence — runs entirely on your hardware,1,0.9980100201231946,0.9960200402463892,False,Other Tech,0.8257616758346558,0.006531953811645508,DevOps & Platform Engineering,0.8192297220230103
,lmdb 1.8.1,Universal Python binding for the LMDB 'Lightning' Database,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/lmdb/1.8.1/,2026-03-12T23:20:50Z,NewsAPI,lmdb 1.8.1. Universal Python binding for the LMDB 'Lightning' Database,1,0.980446999511161,0.960893999022322,False,Other Tech,0.8122899532318115,0.0035229921340942383,Programming Languages,0.8087669610977173
,flwr-nightly 1.28.0.dev20260312,Flower: A Friendly Federated AI Framework,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/flwr-nightly/1.28.0.dev20260312/,2026-03-12T23:16:26Z,NewsAPI,flwr-nightly 1.28.0.dev20260312. Flower: A Friendly Federated AI Framework,1,0.9923787110326575,0.984757422065315,False,Other Tech,0.8433380126953125,0.01086503267288208,AI/ML,0.8324729800224304
,A huge weekend reading from Web Directions,"This week we have almost certainly the biggest roundup of articles ever in a Weekend Reading–going all the way back to about 2006. We also announced a significant number of speakers for AI Engineer across all tracks. This one is selling fast, so start plannin…","This week we have almost certainly the biggest roundup of articles ever in a Weekend Readinggoing all the way back to about 2006.
We also announced a significant number of speakers for AI Engineer a… [+55637 chars]",https://webdirections.org/blog/a-huge-weekend-reading-from-web-directions/,2026-03-12T23:15:00Z,NewsAPI,"A huge weekend reading from Web Directions. This week we have almost certainly the biggest roundup of articles ever in a Weekend Reading–going all the way back to about 2006. We also announced a significant number of speakers for AI Engineer across all tracks. This one is selling fast, so start plannin…",1,0.9762224788441143,0.9524449576882286,False,Other Tech,0.8272947072982788,0.006616950035095215,Tech Business & Industry,0.8206777572631836
,dmagent 1.0.9,DarkMatter — self-organizing mesh networks for AI agents via MCP,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/dmagent/1.0.9/,2026-03-12T23:14:57Z,NewsAPI,dmagent 1.0.9. DarkMatter — self-organizing mesh networks for AI agents via MCP,1,0.9952653590381786,0.9905307180763572,False,Other Tech,0.8300312757492065,0.007619023323059082,Security,0.8224122524261475
,Sunday raises $165M at $1.15B valuation to launch Memo household robot,"Helpful home robots startup Sunday Inc. announced today that it had raised $165 million in new funding on a $1.15 billion valuation to scale research and begin real-world deployment of its Memo home robot. Founded in 2023, Sunday is developing autonomous robo…",Helpful home robots startup Sunday Inc. announced today that it had raised $165 million in new funding on a $1.15 billion valuation to scale research and begin real-world deployment of its Memo home … [+4298 chars],https://siliconangle.com/2026/03/12/sunday-raises-165m-1-15b-valuation-launch-memo-household-robot/,2026-03-12T23:13:08Z,NewsAPI,"Sunday raises $165M at $1.15B valuation to launch Memo household robot. Helpful home robots startup Sunday Inc. announced today that it had raised $165 million in new funding on a $1.15 billion valuation to scale research and begin real-world deployment of its Memo home robot. Founded in 2023, Sunday is developing autonomous robo…",1,0.8873793195723767,0.7747586391447534,False,Other Tech,0.8073667287826538,0.002849578857421875,Other Tech,0.8045171499252319
,"Risky Biz Soap Box: It took a decade, but allowlisting is cool again","In this Soap Box edition of the Risky Business podcast Patrick Gray sits down with Airlock Digital co-founders Daniel Schell and David Cottingham to talk about the role AI models could play in managing enterprise allowlists.

They also talk about the durabili…","Presented by
In this Soap Box edition of the Risky Business podcast Patrick Gray sits down with Airlock Digital co-founders Daniel Schell and David Cottingham to talk about the role AI models could … [+423 chars]",https://risky.biz/SOAPBOX105/,2026-03-12T23:12:14Z,NewsAPI,"Risky Biz Soap Box: It took a decade, but allowlisting is cool again. In this Soap Box edition of the Risky Business podcast Patrick Gray sits down with Airlock Digital co-founders Daniel Schell and David Cottingham to talk about the role AI models could play in managing enterprise allowlists. They also talk about the durabili…",1,0.8957240385897522,0.7914480771795045,False,Other Tech,0.8112286329269409,0.006006598472595215,Data & Databases,0.8052220344543457
